fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin,hrMedia
1980-03-30,B228,"PALMA, PUERTO",ILLES BALEARS,3,"16,1","0,0","12,6",06:15,"19,6",12:00,18,"3,6","9,2",15:25,"9,6","1023,9",24,"1018,7",00,76
1980-03-30,B278,"PALMA DE MALLORCA, AEROPUERTO",BALEARES,5,"13,7","0,0","7,0",23:59,"20,4",13:45,29,"6,1","12,8",11:35,"10,7","1024,7",24,"1018,4",00,62
1980-03-30,B248,"SIERRA DE ALFABIA, BUNYOLA",ILLES BALEARS,1030,"7,3","0,0","5,4",09:00,"9,2",12:00,34,"3,3","13,1",17:05,"9,8",,,,,76
1980-03-31,B228,"PALMA, PUERTO",ILLES BALEARS,3,"14,0","0,0","10,0",06:10,"18,0",13:35,18,"1,9","7,2",11:50,"10,1","1023,9",00,"1018,4",24,80
1980-03-31,B278,"PALMA DE MALLORCA, AEROPUERTO",BALEARES,5,"12,1","0,0","5,0",03:50,"19,2",14:00,20,"4,2","8,3",13:10,"9,6","1024,7",00,"1020,4",24,83
1980-03-31,B248,"SIERRA DE ALFABIA, BUNYOLA",ILLES BALEARS,1030,"11,4",,"5,6",17:00,"17,3",11:50,02,"2,5","8,3",15:40,"9,8",,,,,65
1980-04-01,B228,"PALMA, PUERTO",ILLES BALEARS,3,"17,6","0,0","10,6",06:30,"24,6",15:00,05,"2,2","8,1",16:40,"9,9","1018,7",24,"1015,3",15,62
1980-04-01,B278,"PALMA DE MALLORCA, AEROPUERTO",BALEARES,5,"13,4","0,0","4,6",05:15,"22,2",14:30,09,"4,4","10,3",17:30,"9,8","1020,4",00,"1015,9",16,73
1980-04-02,B228,"PALMA, PUERTO",ILLES BALEARS,3,"16,8","0,0","12,0",23:59,"21,6",10:50,02,"4,7","8,3",03:20,"9,5","1022,0",24,"1018,0",03,65
1980-04-02,B278,"PALMA DE MALLORCA, AEROPUERTO",BALEARES,5,"15,8","0,0","8,4",23:59,"23,2",12:00,25,"5,8","9,2",15:25,"8,5","1022,4",24,"1018,4",03,69
1980-04-03,B228,"PALMA, PUERTO",ILLES BALEARS,3,"13,5","0,0","12,0",00:00,"15,0",13:30,05,"3,9","12,8",21:50,"0,2","1022,3",09,"1018,9",17,61
1980-04-03,B278,"PALMA DE MALLORCA, AEROPUERTO",BALEARES,5,"11,3","0,0","8,4",00:00,"14,2",15:00,07,"6,1","9,2",12:25,"1,2","1022,7",10,"1019,9",18,71
1980-04-04,B228,"PALMA, PUERTO",ILLES BALEARS,3,"12,8","10,0","10,2",23:59,"15,4",16:00,05,"3,3","12,8",00:05,"7,3","1019,9",00,"1014,7",24,49
1980-04-04,B278,"PALMA DE MALLORCA, AEROPUERTO",BALEARES,5,"11,7","0,0","6,6",23:59,"16,8",13:30,07,"6,7","9,7",08:15,"2,8","1020,8",00,"1015,6",18,56
1980-04-05,B228,"PALMA, PUERTO",ILLES BALEARS,3,"9,6","3,4","5,2",09:00,"14,0",16:00,05,"4,2","11,9",11:55,"4,5","1018,3",24,"1013,2",04,77
1980-04-05,B278,"PALMA DE MALLORCA, AEROPUERTO",BALEARES,5,"8,6","7,5","3,2",23:59,"14,0",14:45,02,"5,3","11,9",12:00,"3,5","1019,6",24,"1013,7",05,84
1980-04-06,B228,"PALMA, PUERTO",ILLES BALEARS,3,"10,6","5,8","6,6",06:30,"14,6",12:00,05,"2,5","9,2",16:45,"5,0","1020,5",24,"1017,6",04,71
1980-04-06,B278,"PALMA DE MALLORCA, AEROPUERTO",BALEARES,5,"7,9","3,2","0,4",05:30,"15,4",12:00,07,"4,2","7,2",14:40,"3,9","1020,9",23,"1018,1",04,87
1980-03-30,B893,"MENORCA, AEROPUERTO",BALEARES,91,"13,4","0,0","10,8",23:59,"16,0",13:30,36,"9,7","20,0",09:00,"10,4","1014,7",23,"1008,7",00,59
1980-03-31,B893,"MENORCA, AEROPUERTO",BALEARES,91,"12,8","0,0","8,0",04:30,"17,6",14:00,23,"5,8","11,9",14:30,"11,0","1014,4",00,"1010,3",24,77
1980-04-01,B893,"MENORCA, AEROPUERTO",BALEARES,91,"17,5","0,0","11,4",01:30,"23,6",14:10,36,"5,6","10,0",17:00,"10,2","1010,3",00,"1006,7",17,74
1980-04-02,B893,"MENORCA, AEROPUERTO",BALEARES,91,"15,1","0,0","13,0",23:59,"17,2",12:20,36,"6,4","16,9",10:30,"10,8","1012,8",24,"1009,1",04,69
1980-04-03,B893,"MENORCA, AEROPUERTO",BALEARES,91,"12,7","0,0","11,4",23:59,"14,0",11:40,36,"10,0","20,0",11:10,"6,2","1012,8",00,"1009,9",18,57
1980-04-04,B893,"MENORCA, AEROPUERTO",BALEARES,91,"11,0","6,5","8,2",23:59,"13,8",14:10,36,"8,3","18,9",08:00,"9,0","1010,0",00,"1005,5",24,66
1980-04-05,B893,"MENORCA, AEROPUERTO",BALEARES,91,"10,5","1,0","7,4",04:50,"13,6",14:40,36,"9,4","18,1",13:30,"7,0","1009,5",22,"1003,2",04,76
1980-04-06,B893,"MENORCA, AEROPUERTO",BALEARES,91,"9,3","3,2","6,8",23:59,"11,8",11:10,36,"2,2","11,1",11:30,"2,0","1011,7",22,"1008,0",04,81
1980-03-30,C029O,LANZAROTE AEROPUERTO,LAS PALMAS,14,"22,3","0,0","18,4",,"26,2",,09,"3,6","8,3",12:30,"11,5","1018,5",00,"1014,4",18,63
1980-03-30,B954,"IBIZA, AEROPUERTO",ILLES BALEARS,6,"16,1","0,0","13,4",23:45,"18,8",13:00,11,"2,8","3,9",13:00,"10,7","1024,5",12,"1018,0",00,69
