provincia,year,avg_precip,dry_days
BARCELONA,1925,1.3375,1
CACERES,1925,1.75,2
CANTABRIA,1925,2.5124999999999997,1
CASTELLON,1925,0.5,6
CIUDAD REAL,1925,1.625,5
GIRONA,1925,2.6625,6
HUELVA,1925,1.3375,6
JAEN,1925,1.25,5
MADRID,1925,1.8375,2
SANTA CRUZ DE TENERIFE,1925,0,8
TARRAGONA,1925,0.3375,5
TOLEDO,1925,1.1625,4
ZAMORA,1925,0.5,7
ZARAGOZA,1925,3.1875,5
BADAJOZ,1926,2.0375,6
BARCELONA,1926,0.5541666666666667,5
CACERES,1926,4.4875,4
CANTABRIA,1926,0.4125,7
CASTELLON,1926,0.6375,7
CIUDAD REAL,1926,1.775,6
GIRONA,1926,0,8
HUELVA,1926,1.9625000000000001,5
JAEN,1926,3.25,4
MADRID,1926,1.9125,5
TARRAGONA,1926,0.6,6
TOLEDO,1926,1.3250000000000002,5
ZAMORA,1926,1.5,6
ZARAGOZA,1926,0.15,7
BADAJOZ,1927,0.125,7
BARCELONA,1927,0.509375,6
CACERES,1927,0.025,7
CANTABRIA,1927,3.525,5
CASTELLON,1927,0.625,5
CIUDAD REAL,1927,0,8
GIRONA,1927,0.96875,5
HUELVA,1927,0.5,6
JAEN,1927,0.2875,5
MADRID,1927,0,8
SANTA CRUZ DE TENERIFE,1927,19.375,7
TARRAGONA,1927,0.0375,7
TOLEDO,1927,0.275,7
ZAMORA,1927,0,8
BADAJOZ,1928,2.375,4
BARCELONA,1928,2.125,5
CACERES,1928,2.5,4
CANTABRIA,1928,1.9875,3
CASTELLON,1928,6.25,5
CIUDAD REAL,1928,4.45,6
GIRONA,1928,4.9125,2
HUELVA,1928,3.0250000000000004,6
HUESCA,1928,10.75,2
JAEN,1928,4.6875,3
SANTA CRUZ DE TENERIFE,1928,2.35,4
TOLEDO,1928,3.8874999999999997,5
ZAMORA,1928,1,7
ZARAGOZA,1928,2.8625,4
BARCELONA,1930,0.85,4
CACERES,1930,0.05,7
CANTABRIA,1930,4.75,0
CASTELLON,1930,0,8
GIPUZKOA,1930,8.1875,0
GIRONA,1930,1.425,1
HUELVA,1930,0,8
HUESCA,1930,5.375,4
JAEN,1930,1.5,7
LA RIOJA,1930,0,8
LLEIDA,1930,0.3625,6
MADRID,1930,0,8
SANTA CRUZ DE TENERIFE,1930,0,8
TARRAGONA,1930,0.125,6
TOLEDO,1930,0,8
ZAMORA,1930,0,8
ZARAGOZA,1930,0.4125,4
A CORUÑA,1931,4.4,3
BARCELONA,1931,2.2458333333333336,3
CACERES,1931,0.75,5
CASTELLON,1931,0.875,6
CIUDAD REAL,1931,0.125,7
GIPUZKOA,1931,4.55,2
GIRONA,1931,3.7375000000000003,2
HUESCA,1931,6.25,5
JAEN,1931,0,8
LA RIOJA,1931,0,8
LLEIDA,1931,2.875,5
MADRID,1931,1.075,6
SANTA CRUZ DE TENERIFE,1931,0.056249999999999994,6
TARRAGONA,1931,0.9375,6
TOLEDO,1931,1.1875,6
ZAMORA,1931,0.375,6
ZARAGOZA,1931,1.775,5
A CORUÑA,1932,4.3625,5
BARCELONA,1932,2.1291666666666664,6
CACERES,1932,0.125,7
CANTABRIA,1932,0.775,6
CASTELLON,1932,0,8
CIUDAD REAL,1932,0,8
GIPUZKOA,1932,1.35,5
GIRONA,1932,1.6833333333333333,5
HUELVA,1932,0,8
HUESCA,1932,3.375,6
JAEN,1932,0,8
LLEIDA,1932,3.0875000000000004,6
MADRID,1932,0.1625,7
SANTA CRUZ DE TENERIFE,1932,0.325,7
TARRAGONA,1932,0.2875,7
TOLEDO,1932,0,8
ZARAGOZA,1932,1,6
A CORUÑA,1933,2.7875,6
BARCELONA,1933,2.433333333333333,2
CACERES,1933,0,8
CANTABRIA,1933,1.0875,6
CASTELLON,1933,6.875,5
CIUDAD REAL,1933,0,8
GIPUZKOA,1933,0.4875,5
GIRONA,1933,5.5,3
HUELVA,1933,0,8
HUESCA,1933,1.125,6
JAEN,1933,0.125,7
LLEIDA,1933,1.7625,5
MADRID,1933,0.225,6
OURENSE,1933,1.0375,6
SANTA CRUZ DE TENERIFE,1933,0,8
TARRAGONA,1933,6.1875,3
TOLEDO,1933,0.75,7
ZAMORA,1933,0.0375,7
ZARAGOZA,1933,0.4625,6
A CORUÑA,1934,0.45,4
ALMERIA,1934,3.2875,4
BADAJOZ,1934,1.4375,3
BARCELONA,1934,1.88125,0
CACERES,1934,0.5625,6
CANTABRIA,1934,0.38749999999999996,6
CASTELLON,1934,0.5625,6
GIPUZKOA,1934,0.775,3
GIRONA,1934,1.46875,3
HUELVA,1934,4.8875,3
JAEN,1934,3.25,3
MADRID,1934,1.1125,5
OURENSE,1934,0.4375,6
SANTA CRUZ DE TENERIFE,1934,0.9562499999999999,4
TARRAGONA,1934,1.9625,2
ZAMORA,1934,0,8
ZARAGOZA,1934,1.8125,5
A CORUÑA,1935,5.325,0
ALMERIA,1935,0,8
BADAJOZ,1935,0.7875,7
BARCELONA,1935,0.171875,7
BURGOS,1935,0,8
CACERES,1935,1.4125,7
CANTABRIA,1935,2.9250000000000003,3
CASTELLON,1935,0,8
CIUDAD REAL,1935,0,8
GIPUZKOA,1935,1.7875,4
GIRONA,1935,0.22083333333333333,6
HUELVA,1935,0,8
JAEN,1935,0,8
LLEIDA,1935,1.025,7
MADRID,1935,0.5125,7
OURENSE,1935,13.5125,1
SANTA CRUZ DE TENERIFE,1935,2.0625,6
STA. CRUZ DE TENERIFE,1935,0.2375,7
TARRAGONA,1935,0,8
TOLEDO,1935,0,8
ZAMORA,1935,0.4375,7
ZARAGOZA,1935,0,8
A CORUÑA,1936,1.6124999999999998,5
ALMERIA,1936,4.65,5
BARCELONA,1936,4.225,1
BURGOS,1936,3.875,3
CACERES,1936,2.65,4
CADIZ,1936,1.525,6
CANTABRIA,1936,9.2125,3
CASTELLON,1936,2.7875,5
CIUDAD REAL,1936,1.375,5
GIPUZKOA,1936,6.625,5
GIRONA,1936,2.8875,3
HUELVA,1936,4.0625,5
JAEN,1936,3.75,4
LLEIDA,1936,3.6374999999999997,5
MADRID,1936,3.4375,1
OURENSE,1936,1.375,6
SANTA CRUZ DE TENERIFE,1936,3.4375,4
STA. CRUZ DE TENERIFE,1936,3.225,3
TARRAGONA,1936,1.3625,2
TOLEDO,1936,2.875,3
ZARAGOZA,1936,2.575,3
A CORUÑA,1937,3.675,4
